(epoch: 1, iters: 3648, time: 1188.849) D_A: 0.178 G_A: 0.191 Cyc_A: 1.258 D_B: 0.135 G_B: 1.001 Cyc_B: 1.319 idt_A: 0.619 idt_B: 0.515
(epoch: 2, iters: 3648, time: 1188.475) D_A: 0.232 G_A: 0.158 Cyc_A: 0.874 D_B: 0.233 G_B: 0.178 Cyc_B: 0.771 idt_A: 0.326 idt_B: 0.376
(epoch: 3, iters: 3648, time: 1187.842) D_A: 0.229 G_A: 0.127 Cyc_A: 0.711 D_B: 0.246 G_B: 0.217 Cyc_B: 0.777 idt_A: 0.357 idt_B: 0.299
(epoch: 4, iters: 3648, time: 1187.588) D_A: 0.212 G_A: 0.165 Cyc_A: 0.739 D_B: 0.201 G_B: 0.293 Cyc_B: 0.736 idt_A: 0.329 idt_B: 0.326
(epoch: 5, iters: 3648, time: 1187.734) D_A: 0.190 G_A: 0.290 Cyc_A: 0.659 D_B: 0.242 G_B: 0.241 Cyc_B: 0.740 idt_A: 0.343 idt_B: 0.303
(epoch: 6, iters: 3648, time: 1187.808) D_A: 0.259 G_A: 0.369 Cyc_A: 0.905 D_B: 0.211 G_B: 0.169 Cyc_B: 0.870 idt_A: 0.330 idt_B: 0.363
(epoch: 7, iters: 3648, time: 1187.458) D_A: 0.204 G_A: 0.373 Cyc_A: 0.683 D_B: 0.240 G_B: 0.254 Cyc_B: 0.570 idt_A: 0.267 idt_B: 0.318
(epoch: 8, iters: 3648, time: 1187.349) D_A: 0.231 G_A: 0.274 Cyc_A: 0.529 D_B: 0.230 G_B: 0.248 Cyc_B: 0.604 idt_A: 0.278 idt_B: 0.230
(epoch: 9, iters: 3648, time: 1187.495) D_A: 0.233 G_A: 0.179 Cyc_A: 0.567 D_B: 0.293 G_B: 0.243 Cyc_B: 0.538 idt_A: 0.240 idt_B: 0.219
(epoch: 10, iters: 3648, time: 1187.723) D_A: 0.205 G_A: 0.253 Cyc_A: 0.541 D_B: 0.238 G_B: 0.272 Cyc_B: 0.514 idt_A: 0.231 idt_B: 0.215
(epoch: 11, iters: 3648, time: 1187.646) D_A: 0.240 G_A: 0.096 Cyc_A: 0.534 D_B: 0.189 G_B: 0.250 Cyc_B: 0.506 idt_A: 0.220 idt_B: 0.214
(epoch: 12, iters: 3648, time: 1187.742) D_A: 0.213 G_A: 0.459 Cyc_A: 0.608 D_B: 0.196 G_B: 0.151 Cyc_B: 0.621 idt_A: 0.232 idt_B: 0.235
(epoch: 13, iters: 3648, time: 1187.562) D_A: 0.255 G_A: 0.214 Cyc_A: 0.490 D_B: 0.188 G_B: 0.215 Cyc_B: 0.451 idt_A: 0.197 idt_B: 0.195
(epoch: 14, iters: 3648, time: 1188.458) D_A: 0.175 G_A: 0.324 Cyc_A: 0.521 D_B: 0.201 G_B: 0.274 Cyc_B: 0.560 idt_A: 0.230 idt_B: 0.209
(epoch: 15, iters: 3648, time: 1188.091) D_A: 0.185 G_A: 0.254 Cyc_A: 0.468 D_B: 0.189 G_B: 0.148 Cyc_B: 0.459 idt_A: 0.187 idt_B: 0.200
(epoch: 16, iters: 3648, time: 1187.781) D_A: 0.241 G_A: 0.191 Cyc_A: 0.620 D_B: 0.202 G_B: 0.258 Cyc_B: 0.559 idt_A: 0.228 idt_B: 0.184
(epoch: 17, iters: 3648, time: 1187.925) D_A: 0.209 G_A: 0.283 Cyc_A: 0.459 D_B: 0.227 G_B: 0.268 Cyc_B: 0.432 idt_A: 0.193 idt_B: 0.189
(epoch: 18, iters: 3648, time: 1187.912) D_A: 0.227 G_A: 0.194 Cyc_A: 0.439 D_B: 0.209 G_B: 0.296 Cyc_B: 0.520 idt_A: 0.213 idt_B: 0.186
(epoch: 19, iters: 3648, time: 1187.839) D_A: 0.189 G_A: 0.476 Cyc_A: 0.464 D_B: 0.204 G_B: 0.305 Cyc_B: 0.464 idt_A: 0.203 idt_B: 0.192
(epoch: 20, iters: 3648, time: 1187.979) D_A: 0.294 G_A: 0.100 Cyc_A: 0.481 D_B: 0.149 G_B: 0.212 Cyc_B: 0.456 idt_A: 0.195 idt_B: 0.194
